sr,audio,classID,fold
118,LJ001-0119.wav,1,11
119,LJ001-0120.wav,1,11
120,LJ001-0121.wav,1,11
121,LJ001-0122.wav,1,11
122,LJ001-0123.wav,1,11
123,LJ001-0124.wav,1,11
124,LJ001-0125.wav,1,11
125,LJ001-0126.wav,1,11
126,LJ001-0127.wav,1,11
127,LJ001-0128.wav,1,11
128,LJ001-0129.wav,1,11
129,LJ001-0130.wav,1,11
130,LJ001-0131.wav,1,11
131,LJ001-0132.wav,1,11
132,LJ001-0133.wav,1,11
133,LJ001-0134.wav,1,11
134,LJ001-0135.wav,1,11
135,LJ001-0136.wav,1,11
136,LJ001-0137.wav,1,11
137,LJ001-0138.wav,1,11
138,LJ001-0139.wav,1,11
139,LJ001-0140.wav,1,11
140,LJ001-0141.wav,1,11
141,LJ001-0142.wav,1,11
142,LJ001-0143.wav,1,11
143,LJ001-0144.wav,1,11
144,LJ001-0145.wav,1,11
145,LJ001-0146.wav,1,11
146,LJ001-0147.wav,1,11
147,LJ001-0148.wav,1,11
148,LJ001-0149.wav,1,11
149,LJ001-0150.wav,1,11
150,LJ001-0151.wav,1,11
151,LJ001-0152.wav,1,11
152,LJ001-0153.wav,1,11
153,LJ001-0154.wav,1,11
154,LJ001-0155.wav,1,11
155,LJ001-0156.wav,1,11
156,LJ001-0157.wav,1,11
157,LJ001-0158.wav,1,11
158,LJ001-0159.wav,1,11
159,LJ001-0160.wav,1,11
160,LJ001-0161.wav,1,11
161,LJ001-0162.wav,1,11
162,LJ001-0163.wav,1,11
163,LJ001-0164.wav,1,11
164,LJ001-0165.wav,1,11
165,LJ001-0166.wav,1,11
166,LJ001-0167.wav,1,11
167,LJ001-0168.wav,1,11
168,LJ001-0169.wav,1,11
169,LJ001-0170.wav,1,11
170,LJ001-0171.wav,1,11
171,LJ001-0172.wav,1,11
172,LJ001-0173.wav,1,11
173,LJ001-0174.wav,1,11
174,LJ001-0175.wav,1,11
175,LJ001-0176.wav,1,11
176,LJ001-0177.wav,1,11
177,LJ001-0178.wav,1,11
178,LJ001-0179.wav,1,11
179,LJ001-0180.wav,1,11
180,LJ001-0181.wav,1,11
181,LJ001-0182.wav,1,11
182,LJ001-0183.wav,1,11
183,LJ001-0184.wav,1,11
184,LJ001-0185.wav,1,11
185,LJ001-0186.wav,1,11
186,LJ002-0001.wav,1,11
187,LJ002-0002.wav,1,11
188,LJ002-0003.wav,1,11
189,LJ002-0004.wav,1,11
190,LJ002-0005.wav,1,11
191,LJ002-0006.wav,1,11
192,LJ002-0007.wav,1,11
193,LJ002-0008.wav,1,11
194,LJ002-0009.wav,1,11
195,LJ002-0010.wav,1,11
196,LJ002-0011.wav,1,11
197,LJ002-0012.wav,1,11
198,LJ002-0013.wav,1,11
199,LJ002-0014.wav,1,11
200,LJ002-0015.wav,1,11
201,LJ002-0016.wav,1,11
202,LJ002-0017.wav,1,11
203,LJ002-0018.wav,1,11
204,LJ002-0019.wav,1,11
205,LJ002-0020.wav,1,11
206,LJ002-0021.wav,1,11
207,LJ002-0022.wav,1,11
208,LJ002-0023.wav,1,11
209,LJ002-0024.wav,1,11
210,LJ002-0025.wav,1,11
211,LJ002-0026.wav,1,11
212,LJ002-0027.wav,1,11
213,LJ002-0028.wav,1,11
214,LJ002-0029.wav,1,11
215,LJ002-0030.wav,1,11
216,LJ002-0031.wav,1,11
217,LJ002-0032.wav,1,11
218,LJ002-0033.wav,1,11
219,LJ002-0034.wav,1,11
220,LJ002-0035.wav,1,11
221,LJ002-0036.wav,1,11
222,LJ002-0037.wav,1,11
223,LJ002-0038.wav,1,11
224,LJ002-0039.wav,1,11
225,LJ002-0040.wav,1,11
226,LJ002-0041.wav,1,11
227,LJ002-0042.wav,1,11
228,LJ002-0043.wav,1,11
229,LJ002-0044.wav,1,11
230,LJ002-0045.wav,1,11
231,LJ002-0046.wav,1,11
232,LJ002-0047.wav,1,11
233,LJ002-0048.wav,1,11
234,LJ002-0049.wav,1,11
235,LJ002-0050.wav,1,11
236,LJ002-0051.wav,1,11
237,LJ002-0052.wav,1,11
238,LJ002-0053.wav,1,11
239,LJ002-0054.wav,1,11
240,LJ002-0055.wav,1,11
241,LJ002-0056.wav,1,11
242,LJ002-0057.wav,1,11
243,LJ002-0058.wav,1,11
244,LJ002-0059.wav,1,11
245,LJ002-0060.wav,1,11
246,LJ002-0061.wav,1,11
247,LJ002-0062.wav,1,11
248,LJ002-0063.wav,1,11
249,LJ002-0064.wav,1,11
250,LJ002-0065.wav,1,11
251,LJ002-0066.wav,1,11
252,LJ002-0067.wav,1,11
253,LJ002-0068.wav,1,11
254,LJ002-0069.wav,1,11
255,LJ002-0070.wav,1,11
256,LJ002-0071.wav,1,11
257,LJ002-0072.wav,1,11
258,LJ002-0073.wav,1,11
259,LJ002-0074.wav,1,11
260,LJ002-0075.wav,1,11
261,LJ002-0076.wav,1,11
262,LJ002-0077.wav,1,11
263,LJ002-0078.wav,1,11
264,LJ002-0079.wav,1,11
265,LJ002-0080.wav,1,11
266,LJ002-0081.wav,1,11
267,LJ002-0082.wav,1,11
268,LJ002-0083.wav,1,11
269,LJ002-0084.wav,1,11
270,LJ002-0085.wav,1,11
271,LJ002-0086.wav,1,11
272,LJ002-0087.wav,1,11
273,LJ002-0088.wav,1,11
274,LJ002-0089.wav,1,11
275,LJ002-0090.wav,1,11
276,LJ002-0091.wav,1,11
277,LJ002-0092.wav,1,11
278,LJ002-0093.wav,1,11
279,LJ002-0094.wav,1,11
280,LJ002-0095.wav,1,11
281,LJ002-0096.wav,1,11
282,LJ002-0097.wav,1,11
283,LJ002-0098.wav,1,11
284,LJ002-0099.wav,1,11
285,LJ002-0100.wav,1,11
286,LJ002-0101.wav,1,11
287,LJ002-0102.wav,1,11
288,LJ002-0103.wav,1,11
289,LJ002-0104.wav,1,11
290,LJ002-0105.wav,1,11
291,LJ002-0106.wav,1,11
292,LJ002-0107.wav,1,11
293,LJ002-0108.wav,1,11
294,LJ002-0109.wav,1,11
295,LJ002-0110.wav,1,11
296,LJ002-0111.wav,1,11
297,LJ002-0112.wav,1,11
298,LJ002-0113.wav,1,11
299,LJ002-0114.wav,1,11
300,LJ002-0116.wav,1,11
301,LJ002-0117.wav,1,11
302,LJ002-0118.wav,1,11
303,LJ002-0119.wav,1,11
304,LJ002-0120.wav,1,11
305,LJ002-0121.wav,1,11
306,LJ002-0122.wav,1,11
307,LJ002-0123.wav,1,11
308,LJ002-0124.wav,1,11
309,LJ002-0125.wav,1,11
310,LJ002-0126.wav,1,11
311,LJ002-0127.wav,1,11
312,LJ002-0128.wav,1,11
313,LJ002-0129.wav,1,11
314,LJ002-0130.wav,1,11
315,LJ002-0131.wav,1,11
316,LJ002-0132.wav,1,11
317,LJ002-0133.wav,1,11
318,LJ002-0134.wav,1,11
319,LJ002-0135.wav,1,11
320,LJ002-0136.wav,1,11
321,LJ002-0137.wav,1,11
322,LJ002-0138.wav,1,11
323,LJ002-0139.wav,1,11
324,LJ002-0140.wav,1,11
325,LJ002-0141.wav,1,11
326,LJ002-0142.wav,1,11
327,LJ002-0143.wav,1,11
328,LJ002-0144.wav,1,11
329,LJ002-0145.wav,1,11
330,LJ002-0146.wav,1,11
331,LJ002-0147.wav,1,11
332,LJ002-0148.wav,1,11
333,LJ002-0149.wav,1,11
334,LJ002-0150.wav,1,11
335,LJ002-0151.wav,1,11
336,LJ002-0152.wav,1,11
337,LJ002-0153.wav,1,11
338,LJ002-0154.wav,1,11
339,LJ002-0155.wav,1,11
340,LJ002-0156.wav,1,11
341,LJ002-0157.wav,1,11
342,LJ002-0158.wav,1,11
343,LJ002-0159.wav,1,11
344,LJ002-0160.wav,1,11
345,LJ002-0161.wav,1,11
346,LJ002-0162.wav,1,11
347,LJ002-0163.wav,1,11
348,LJ002-0164.wav,1,11
349,LJ002-0165.wav,1,11
350,LJ002-0166.wav,1,11
351,LJ002-0167.wav,1,11
352,LJ002-0168.wav,1,11
353,LJ002-0169.wav,1,11
354,LJ002-0170.wav,1,11
355,LJ002-0171.wav,1,11
356,LJ002-0172.wav,1,11
357,LJ002-0173.wav,1,11
358,LJ002-0174.wav,1,11
359,LJ002-0175.wav,1,11
360,LJ002-0176.wav,1,11
361,LJ002-0177.wav,1,11
362,LJ002-0178.wav,1,11
363,LJ002-0179.wav,1,11
364,LJ002-0180.wav,1,11
365,LJ002-0181.wav,1,11
366,LJ002-0182.wav,1,11
367,LJ002-0183.wav,1,11
368,LJ002-0184.wav,1,11
369,LJ002-0185.wav,1,11
370,LJ002-0186.wav,1,11
371,LJ002-0187.wav,1,11
372,LJ002-0188.wav,1,11
373,LJ002-0189.wav,1,11
374,LJ002-0190.wav,1,11
375,LJ002-0191.wav,1,11
376,LJ002-0192.wav,1,11
377,LJ002-0193.wav,1,11
378,LJ002-0194.wav,1,11
379,LJ002-0195.wav,1,11
380,LJ002-0196.wav,1,11
381,LJ002-0197.wav,1,11
382,LJ002-0198.wav,1,11
383,LJ002-0199.wav,1,11
384,LJ002-0200.wav,1,11
385,LJ002-0201.wav,1,11
386,LJ002-0202.wav,1,11
387,LJ002-0203.wav,1,11
388,LJ002-0204.wav,1,11
389,LJ002-0205.wav,1,11
390,LJ002-0206.wav,1,11
391,LJ002-0207.wav,1,11
392,LJ002-0208.wav,1,11
393,LJ002-0209.wav,1,11
394,LJ002-0210.wav,1,11
395,LJ002-0211.wav,1,11
396,LJ002-0212.wav,1,11
397,LJ002-0213.wav,1,11
398,LJ002-0214.wav,1,11
399,LJ002-0215.wav,1,11
400,LJ002-0216.wav,1,11
401,LJ002-0217.wav,1,11
402,LJ002-0218.wav,1,11
403,LJ002-0219.wav,1,11
404,LJ002-0220.wav,1,11
405,LJ002-0221.wav,1,11
406,LJ002-0222.wav,1,11
407,LJ002-0223.wav,1,11
408,LJ002-0224.wav,1,11
409,LJ002-0225.wav,1,11
410,LJ002-0226.wav,1,11
411,LJ002-0227.wav,1,11
412,LJ002-0228.wav,1,11
413,LJ002-0229.wav,1,11
414,LJ002-0230.wav,1,11
415,LJ002-0231.wav,1,11
416,LJ002-0232.wav,1,11
417,LJ002-0233.wav,1,11
418,LJ002-0234.wav,1,11
419,LJ002-0235.wav,1,11
420,LJ002-0236.wav,1,11
421,LJ002-0237.wav,1,11
422,LJ002-0238.wav,1,11
423,LJ002-0239.wav,1,11
424,LJ002-0240.wav,1,11
425,LJ002-0241.wav,1,11
426,LJ002-0242.wav,1,11
427,LJ002-0243.wav,1,11
428,LJ002-0244.wav,1,11
429,LJ002-0245.wav,1,11
430,LJ002-0246.wav,1,11
431,LJ002-0247.wav,1,11
432,LJ002-0248.wav,1,11
433,LJ002-0249.wav,1,11
434,LJ002-0250.wav,1,11
435,LJ002-0251.wav,1,11
436,LJ002-0252.wav,1,11
437,LJ002-0253.wav,1,11
438,LJ002-0254.wav,1,11
439,LJ002-0255.wav,1,11
440,LJ002-0256.wav,1,11
441,LJ002-0257.wav,1,11
442,LJ002-0258.wav,1,11
443,LJ002-0259.wav,1,11
444,LJ002-0260.wav,1,11
445,LJ002-0261.wav,1,11
446,LJ002-0262.wav,1,11
447,LJ002-0263.wav,1,11
448,LJ002-0264.wav,1,11
449,LJ002-0265.wav,1,11
450,LJ002-0266.wav,1,11
451,LJ002-0267.wav,1,11
452,LJ002-0268.wav,1,11
453,LJ002-0269.wav,1,11
454,LJ002-0270.wav,1,11
455,LJ002-0271.wav,1,11
456,LJ002-0272.wav,1,11
457,LJ002-0273.wav,1,11
458,LJ002-0274.wav,1,11
459,LJ002-0275.wav,1,11
460,LJ002-0276.wav,1,11
461,LJ002-0277.wav,1,11
462,LJ002-0278.wav,1,11
463,LJ002-0279.wav,1,11
464,LJ002-0280.wav,1,11
465,LJ002-0281.wav,1,11
466,LJ002-0282.wav,1,11
467,LJ002-0283.wav,1,11
468,LJ002-0284.wav,1,11
469,LJ002-0285.wav,1,11
470,LJ002-0286.wav,1,11
471,LJ002-0287.wav,1,11
472,LJ002-0288.wav,1,11
473,LJ002-0289.wav,1,11
474,LJ002-0290.wav,1,11
475,LJ002-0291.wav,1,11
476,LJ002-0292.wav,1,11
477,LJ002-0293.wav,1,11
478,LJ002-0294.wav,1,11
479,LJ002-0295.wav,1,11
480,LJ002-0296.wav,1,11
481,LJ002-0297.wav,1,11
482,LJ002-0298.wav,1,11
483,LJ002-0299.wav,1,11
484,LJ002-0300.wav,1,11
485,LJ002-0301.wav,1,11
486,LJ002-0302.wav,1,11
487,LJ002-0303.wav,1,11
488,LJ002-0304.wav,1,11
489,LJ002-0305.wav,1,11
490,LJ002-0306.wav,1,11
491,LJ002-0307.wav,1,11
492,LJ002-0308.wav,1,11
493,LJ002-0309.wav,1,11
494,LJ002-0310.wav,1,11
495,LJ002-0311.wav,1,11
496,LJ002-0312.wav,1,11
497,LJ002-0313.wav,1,11
498,LJ002-0314.wav,1,11
499,LJ002-0315.wav,1,11
500,LJ002-0316.wav,1,11
501,LJ002-0317.wav,1,11
502,LJ002-0318.wav,1,11
503,LJ002-0319.wav,1,11
504,LJ002-0320.wav,1,11
505,LJ002-0321.wav,1,11
506,LJ002-0322.wav,1,11
507,LJ002-0323.wav,1,11
508,LJ002-0324.wav,1,11
509,LJ002-0325.wav,1,11
510,LJ002-0326.wav,1,11
511,LJ002-0327.wav,1,11
512,LJ002-0328.wav,1,11
513,LJ002-0329.wav,1,11
514,LJ002-0330.wav,1,11
515,LJ002-0331.wav,1,11
516,LJ002-0332.wav,1,11
517,LJ002-0333.wav,1,11
518,LJ002-0334.wav,1,11
519,LJ002-0335.wav,1,11
520,LJ002-0336.wav,1,11
521,LJ002-0337.wav,1,11
522,LJ002-0338.wav,1,11
523,LJ003-0001.wav,1,11
524,LJ003-0002.wav,1,11
525,LJ003-0003.wav,1,11
526,LJ003-0004.wav,1,11
527,LJ003-0005.wav,1,11
528,LJ003-0006.wav,1,11
529,LJ003-0007.wav,1,11
530,LJ003-0008.wav,1,11
531,LJ003-0009.wav,1,11
532,LJ003-0010.wav,1,11
533,LJ003-0011.wav,1,11
534,LJ003-0012.wav,1,11
535,LJ003-0013.wav,1,11
536,LJ003-0014.wav,1,11
537,LJ003-0015.wav,1,11
538,LJ003-0016.wav,1,11
539,LJ003-0017.wav,1,11
540,LJ003-0018.wav,1,11
541,LJ003-0019.wav,1,11
542,LJ003-0020.wav,1,11
543,LJ003-0021.wav,1,11
544,LJ003-0022.wav,1,11
545,LJ003-0023.wav,1,11
546,LJ003-0024.wav,1,11
547,LJ003-0025.wav,1,11
548,LJ003-0026.wav,1,11
549,LJ003-0027.wav,1,11
550,LJ003-0028.wav,1,11
551,LJ003-0029.wav,1,11
552,LJ003-0030.wav,1,11
553,LJ003-0031.wav,1,11
554,LJ003-0032.wav,1,11
555,LJ003-0033.wav,1,11
556,LJ003-0034.wav,1,11
557,LJ003-0035.wav,1,11
558,LJ003-0036.wav,1,11
559,LJ003-0037.wav,1,11
560,LJ003-0038.wav,1,11
561,LJ003-0039.wav,1,11
562,LJ003-0040.wav,1,11
563,LJ003-0041.wav,1,11
564,LJ003-0042.wav,1,11
565,LJ003-0043.wav,1,11
566,LJ003-0044.wav,1,11
567,LJ003-0045.wav,1,11
568,LJ003-0046.wav,1,11
569,LJ003-0047.wav,1,11
570,LJ003-0048.wav,1,11
571,LJ003-0049.wav,1,11
572,LJ003-0050.wav,1,11
573,LJ003-0051.wav,1,11
574,LJ003-0052.wav,1,11
575,LJ003-0053.wav,1,11
576,LJ003-0054.wav,1,11
577,LJ003-0055.wav,1,11
578,LJ003-0056.wav,1,11
579,LJ003-0057.wav,1,11
580,LJ003-0058.wav,1,11
581,LJ003-0059.wav,1,11
582,LJ003-0060.wav,1,11
583,LJ003-0061.wav,1,11
584,LJ003-0062.wav,1,11
585,LJ003-0063.wav,1,11
586,LJ003-0064.wav,1,11
587,LJ003-0065.wav,1,11
588,LJ003-0066.wav,1,11
589,LJ003-0067.wav,1,11
590,LJ003-0068.wav,1,11
591,LJ003-0069.wav,1,11
592,LJ003-0070.wav,1,11
593,LJ003-0071.wav,1,11
594,LJ003-0072.wav,1,11
595,LJ003-0073.wav,1,11
596,LJ003-0074.wav,1,11
597,LJ003-0075.wav,1,11
598,LJ003-0076.wav,1,11
599,LJ003-0077.wav,1,11
600,LJ003-0078.wav,1,11
601,LJ003-0079.wav,1,11
602,LJ003-0080.wav,1,11
603,LJ003-0081.wav,1,11
604,LJ003-0082.wav,1,11
605,LJ003-0083.wav,1,11
606,LJ003-0084.wav,1,11
607,LJ003-0085.wav,1,11
608,LJ003-0086.wav,1,11
609,LJ003-0087.wav,1,11
610,LJ003-0088.wav,1,11
611,LJ003-0089.wav,1,11
612,LJ003-0090.wav,1,11
613,LJ003-0091.wav,1,11
614,LJ003-0092.wav,1,11
615,LJ003-0093.wav,1,11
616,LJ003-0094.wav,1,11
617,LJ003-0095.wav,1,11
618,LJ003-0096.wav,1,11
619,LJ003-0097.wav,1,11
620,LJ003-0098.wav,1,11
621,LJ003-0099.wav,1,11
622,LJ003-0100.wav,1,11
623,LJ003-0101.wav,1,11
624,LJ003-0102.wav,1,11
625,LJ003-0103.wav,1,11
626,LJ003-0104.wav,1,11
627,LJ003-0105.wav,1,11
628,LJ003-0106.wav,1,11
629,LJ003-0107.wav,1,11
630,LJ003-0108.wav,1,11
631,LJ003-0109.wav,1,11
632,LJ003-0110.wav,1,11
633,LJ003-0111.wav,1,11
634,LJ003-0112.wav,1,11
635,LJ003-0113.wav,1,11
636,LJ003-0114.wav,1,11
637,LJ003-0115.wav,1,11
638,LJ003-0116.wav,1,11
639,LJ003-0117.wav,1,11
640,LJ003-0118.wav,1,11
641,LJ003-0119.wav,1,11
642,LJ003-0120.wav,1,11
643,LJ003-0121.wav,1,11
644,LJ003-0122.wav,1,11
645,LJ003-0123.wav,1,11
646,LJ003-0124.wav,1,11
647,LJ003-0125.wav,1,11
648,LJ003-0126.wav,1,11
649,LJ003-0127.wav,1,11
650,LJ003-0128.wav,1,11
651,LJ003-0129.wav,1,11
652,LJ003-0130.wav,1,11
653,LJ003-0131.wav,1,11
654,LJ003-0132.wav,1,11
655,LJ003-0133.wav,1,11
656,LJ003-0134.wav,1,11
657,LJ003-0135.wav,1,11
658,LJ003-0136.wav,1,11
659,LJ003-0137.wav,1,11
660,LJ003-0138.wav,1,11
661,LJ003-0139.wav,1,11
662,LJ003-0140.wav,1,11
663,LJ003-0141.wav,1,11
664,LJ003-0142.wav,1,11
665,LJ003-0143.wav,1,11
666,LJ003-0144.wav,1,11
667,LJ003-0145.wav,1,11
668,LJ003-0146.wav,1,11
669,LJ003-0147.wav,1,11
670,LJ003-0148.wav,1,11
671,LJ003-0149.wav,1,11
672,LJ003-0150.wav,1,11
673,LJ003-0151.wav,1,11
674,LJ003-0152.wav,1,11
675,LJ003-0153.wav,1,11
676,LJ003-0154.wav,1,11
677,LJ003-0155.wav,1,11
678,LJ003-0156.wav,1,11
679,LJ003-0157.wav,1,11
680,LJ003-0158.wav,1,11
681,LJ003-0159.wav,1,11
682,LJ003-0160.wav,1,11
683,LJ003-0161.wav,1,11
684,LJ003-0162.wav,1,11
685,LJ003-0163.wav,1,11
686,LJ003-0164.wav,1,11
687,LJ003-0165.wav,1,11
688,LJ003-0166.wav,1,11
689,LJ003-0167.wav,1,11
690,LJ003-0168.wav,1,11
691,LJ003-0169.wav,1,11
692,LJ003-0170.wav,1,11
693,LJ003-0171.wav,1,11
694,LJ003-0172.wav,1,11
695,LJ003-0173.wav,1,11
696,LJ003-0174.wav,1,11
697,LJ003-0175.wav,1,11
698,LJ003-0176.wav,1,11
699,LJ003-0177.wav,1,11
700,LJ003-0178.wav,1,11
701,LJ003-0179.wav,1,11
702,LJ003-0180.wav,1,11
703,LJ003-0181.wav,1,11
704,LJ003-0182.wav,1,11
705,LJ003-0183.wav,1,11
706,LJ003-0184.wav,1,11
707,LJ003-0185.wav,1,11
708,LJ003-0186.wav,1,11
709,LJ003-0187.wav,1,11
710,LJ003-0188.wav,1,11
711,LJ003-0189.wav,1,11
712,LJ003-0190.wav,1,11
713,LJ003-0191.wav,1,11
714,LJ003-0192.wav,1,11
715,LJ003-0193.wav,1,11
716,LJ003-0194.wav,1,11
717,LJ003-0195.wav,1,11
718,LJ003-0196.wav,1,11
719,LJ003-0197.wav,1,11
720,LJ003-0198.wav,1,11
721,LJ003-0199.wav,1,11
722,LJ003-0200.wav,1,11
723,LJ003-0201.wav,1,11
724,LJ003-0202.wav,1,11
725,LJ003-0203.wav,1,11
726,LJ003-0204.wav,1,11
727,LJ003-0205.wav,1,11
728,LJ003-0206.wav,1,11
729,LJ003-0207.wav,1,11
730,LJ003-0208.wav,1,11
731,LJ003-0209.wav,1,11
732,LJ003-0210.wav,1,11
733,LJ003-0211.wav,1,11
734,LJ003-0212.wav,1,11
735,LJ003-0213.wav,1,11
736,LJ003-0214.wav,1,11
737,LJ003-0215.wav,1,11
738,LJ003-0216.wav,1,11
739,LJ003-0217.wav,1,11
740,LJ003-0218.wav,1,11
741,LJ003-0219.wav,1,11
742,LJ003-0220.wav,1,11
743,LJ003-0221.wav,1,11
744,LJ003-0222.wav,1,11
745,LJ003-0223.wav,1,11
746,LJ003-0224.wav,1,11
747,LJ003-0225.wav,1,11
748,LJ003-0226.wav,1,11
749,LJ003-0227.wav,1,11
750,LJ003-0228.wav,1,11
751,LJ003-0229.wav,1,11
752,LJ003-0230.wav,1,11
753,LJ003-0231.wav,1,11
754,LJ003-0232.wav,1,11
755,LJ003-0233.wav,1,11
756,LJ003-0234.wav,1,11
757,LJ003-0235.wav,1,11
758,LJ003-0236.wav,1,11
759,LJ003-0237.wav,1,11
760,LJ003-0238.wav,1,11
761,LJ003-0239.wav,1,11
762,LJ003-0240.wav,1,11
763,LJ003-0241.wav,1,11
764,LJ003-0242.wav,1,11
765,LJ003-0243.wav,1,11
766,LJ003-0244.wav,1,11
767,LJ003-0245.wav,1,11
768,LJ003-0246.wav,1,11
769,LJ003-0247.wav,1,11
770,LJ003-0248.wav,1,11
771,LJ003-0249.wav,1,11
772,LJ003-0250.wav,1,11
773,LJ003-0251.wav,1,11
774,LJ003-0252.wav,1,11
775,LJ003-0253.wav,1,11
776,LJ003-0254.wav,1,11
777,LJ003-0255.wav,1,11
778,LJ003-0256.wav,1,11
779,LJ003-0257.wav,1,11
780,LJ003-0258.wav,1,11
781,LJ003-0259.wav,1,11
782,LJ003-0260.wav,1,11
783,LJ003-0261.wav,1,11
784,LJ003-0262.wav,1,11
785,LJ003-0263.wav,1,11
786,LJ003-0264.wav,1,11
787,LJ003-0265.wav,1,11
788,LJ003-0266.wav,1,11
789,LJ003-0267.wav,1,11
790,LJ003-0268.wav,1,11
791,LJ003-0269.wav,1,11
792,LJ003-0270.wav,1,11
793,LJ003-0271.wav,1,11
794,LJ003-0273.wav,1,11
795,LJ003-0274.wav,1,11
796,LJ003-0275.wav,1,11
797,LJ003-0276.wav,1,11
798,LJ003-0277.wav,1,11
799,LJ003-0278.wav,1,11
800,LJ003-0279.wav,1,11
801,LJ003-0280.wav,1,11
802,LJ003-0281.wav,1,11
803,LJ003-0282.wav,1,11
804,LJ003-0283.wav,1,11
805,LJ003-0284.wav,1,11
806,LJ003-0285.wav,1,11
807,LJ003-0286.wav,1,11
808,LJ003-0287.wav,1,11
809,LJ003-0288.wav,1,11
810,LJ003-0289.wav,1,11
811,LJ003-0290.wav,1,11
812,LJ003-0291.wav,1,11
813,LJ003-0292.wav,1,11
814,LJ003-0293.wav,1,11
815,LJ003-0294.wav,1,11
816,LJ003-0295.wav,1,11
817,LJ003-0296.wav,1,11
818,LJ003-0297.wav,1,11
819,LJ003-0298.wav,1,11
820,LJ003-0299.wav,1,11
821,LJ003-0300.wav,1,11
